GEO_ID,H003001,H003002,H003003
1000000US500019603001019,12,12,0
1000000US500019603001020,31,31,0
1000000US500019603001021,0,0,0
1000000US500019603001022,4,2,2
1000000US500019603001023,37,31,6
1000000US500019603001024,8,7,1
1000000US500019603001025,12,11,1
1000000US500019603001026,4,3,1
1000000US500019603001027,20,16,4
1000000US500019603002000,4,4,0
1000000US500019603002001,0,0,0
1000000US500019603002002,0,0,0
1000000US500019603002003,21,20,1
1000000US500019603002004,10,10,0
1000000US500019603002005,0,0,0
1000000US500019603002006,4,4,0
1000000US500019603002007,119,111,8
1000000US500019603002008,0,0,0
1000000US500019603002009,25,24,1
1000000US500019603002010,15,12,3
1000000US500019603002011,4,4,0
1000000US500019603002012,7,6,1
1000000US500019603002013,1,1,0
1000000US500019603002014,23,21,2
1000000US500019603002015,19,17,2
1000000US500019603002016,3,2,1
1000000US500019603002017,15,15,0
1000000US500019603002018,0,0,0
1000000US500019603002019,8,7,1
1000000US500019603002020,20,17,3
1000000US500019603002021,68,62,6
1000000US500019603002022,29,27,2
1000000US500019603002023,1,1,0
1000000US500019603002024,15,13,2
1000000US500019603002025,19,18,1
1000000US500019603002026,21,16,5
1000000US500019603002027,10,10,0
1000000US500019603002028,86,81,5
1000000US500019603002029,10,10,0
1000000US500019603002030,12,11,1
1000000US500019603002031,29,29,0
1000000US500019603002032,57,55,2
1000000US500019603002033,0,0,0
1000000US500019603002034,0,0,0
1000000US500019603002035,75,74,1
1000000US500019603002036,18,17,1
1000000US500019603002037,8,8,0
1000000US500019603002038,0,0,0
1000000US500019603002039,0,0,0
1000000US500019604001000,3,3,0
1000000US500019604001001,2,2,0
1000000US500019604001002,1,1,0
1000000US500019604001003,14,14,0
1000000US500019604001004,0,0,0
1000000US500019604001005,5,5,0
1000000US500019604001006,4,4,0
1000000US500019604001007,2,2,0
1000000US500019604001008,0,0,0
1000000US500019604001009,0,0,0
1000000US500019604001010,32,28,4
1000000US500019604001011,0,0,0
1000000US500019604001012,0,0,0
1000000US500019604001013,1,1,0
1000000US500019604001014,0,0,0
1000000US500019604001015,0,0,0
1000000US500019604001016,6,5,1
1000000US500019604001017,1,1,0
1000000US500019604001018,0,0,0
1000000US500019604001019,1,1,0
1000000US500019604001020,3,3,0
1000000US500019604001021,7,7,0
1000000US500019604001022,0,0,0
1000000US500019604001023,0,0,0
1000000US500019604001024,0,0,0
1000000US500019604001025,0,0,0
1000000US500019604001026,0,0,0
1000000US500019604001027,0,0,0
1000000US500019604001028,6,3,3
1000000US500019604001029,26,22,4
1000000US500019604001030,3,3,0
1000000US500019604001031,0,0,0
1000000US500019604001032,0,0,0
1000000US500019604001033,0,0,0
1000000US500019604001034,7,7,0
1000000US500019604001035,63,60,3
1000000US500019604001036,0,0,0
1000000US500019604001037,0,0,0
1000000US500019604001038,0,0,0
1000000US500019604001039,0,0,0
1000000US500019604001040,19,17,2
1000000US500019604001041,0,0,0
1000000US500019604001042,0,0,0
1000000US500019604001043,0,0,0
1000000US500019604001044,60,57,3
1000000US500019604001045,0,0,0
1000000US500019604001046,0,0,0
1000000US500019604001047,113,108,5
1000000US500019604001048,0,0,0
1000000US500019604001049,33,33,0
1000000US500019604001050,1,1,0
1000000US500019604001051,5,5,0
1000000US500019604001052,5,5,0
1000000US500019604001053,0,0,0
1000000US500019604001054,31,29,2
1000000US500019604001055,1,1,0
1000000US500019604001056,6,6,0
1000000US500019604001057,20,19,1
1000000US500019604001058,0,0,0
1000000US500019604001059,1,1,0
1000000US500019604001060,0,0,0
1000000US500019604001061,5,5,0
1000000US500019604001062,6,6,0
1000000US500019604001063,20,19,1
1000000US500019604001064,0,0,0
1000000US500019604001065,0,0,0
1000000US500019604001066,0,0,0
1000000US500019604001067,3,3,0
1000000US500019604001068,4,4,0
1000000US500019604001069,31,25,6
1000000US500019604001070,0,0,0
1000000US500019604001071,0,0,0
1000000US500019604001072,0,0,0
1000000US500019604001073,2,2,0
1000000US500019604001074,8,8,0
1000000US500019604001075,5,5,0
1000000US500019604001076,0,0,0
1000000US500019604001077,29,28,1
1000000US500019604001078,0,0,0
1000000US500019604001079,0,0,0
1000000US500019604001080,30,29,1
1000000US500019604001081,1,1,0
1000000US500019604001082,0,0,0
1000000US500019604001083,6,5,1
1000000US500019604001084,0,0,0
1000000US500019604001085,3,3,0
1000000US500019604001086,15,15,0
1000000US500019604001087,28,26,2
1000000US500019604001088,0,0,0
1000000US500019604001089,4,4,0
1000000US500019604001090,10,9,1
1000000US500019604001091,8,8,0
1000000US500019604001092,0,0,0
1000000US500019604001093,0,0,0
1000000US500019604001094,3,3,0
1000000US500019604001095,1,1,0
1000000US500019604001096,4,3,1
1000000US500019604001097,0,0,0
1000000US500019604001098,0,0,0
1000000US500019604001099,0,0,0
1000000US500019604001100,0,0,0
1000000US500019604001101,2,1,1
1000000US500019604001102,4,4,0
1000000US500019604001103,15,14,1
1000000US500019604001104,2,2,0
1000000US500019604001105,0,0,0
1000000US500019604001106,2,2,0
1000000US500019604001107,0,0,0
1000000US500019604001108,0,0,0
1000000US500019604001109,0,0,0
1000000US500019604001110,0,0,0
1000000US500019604001111,0,0,0
1000000US500019604001112,0,0,0
1000000US500019604001113,0,0,0
1000000US500019604002000,0,0,0
1000000US500019604002001,11,11,0
1000000US500019604002002,0,0,0
1000000US500019604002003,41,41,0
1000000US500019604002004,0,0,0
1000000US500019604002005,22,21,1
1000000US500019604002006,37,36,1
1000000US500019604002007,76,73,3
1000000US500019604002008,0,0,0
1000000US500019604002009,34,19,15
1000000US500019604002010,0,0,0
1000000US500019604002011,0,0,0
1000000US500019604002012,0,0,0
1000000US500019604002013,0,0,0
1000000US500019604002014,0,0,0
1000000US500019604002015,0,0,0
1000000US500019604002016,4,4,0
1000000US500019604002017,27,27,0
1000000US500019604002018,42,40,2
1000000US500019604002019,0,0,0
1000000US500019604002020,0,0,0
1000000US500019604002021,15,14,1
1000000US500019604002022,0,0,0
1000000US500019604002023,0,0,0
1000000US500019604002024,0,0,0
1000000US500019604002025,0,0,0
1000000US500019604002026,0,0,0
1000000US500019604002027,10,10,0
1000000US500019604002028,1,1,0
1000000US500019604002029,20,19,1
1000000US500019604002030,7,7,0
1000000US500019604002031,0,0,0
1000000US500019604002032,1,1,0
1000000US500019604002033,0,0,0
1000000US500019604002034,0,0,0
1000000US500019604002035,24,23,1
1000000US500019604002036,0,0,0
1000000US500019604002037,0,0,0
1000000US500019604002038,0,0,0
1000000US500019604002039,0,0,0
1000000US500019604002040,11,11,0
1000000US500019604002041,0,0,0
1000000US500019604002042,0,0,0
1000000US500019604002043,0,0,0
1000000US500019604002044,0,0,0
1000000US500019604002045,0,0,0
1000000US500019604002046,4,4,0
1000000US500019604002047,1,1,0
1000000US500019604002048,0,0,0
1000000US500019604002049,0,0,0
1000000US500019604002050,0,0,0
1000000US500019604002051,0,0,0
1000000US500019604002052,0,0,0
1000000US500019604002053,0,0,0
1000000US500019604002054,2,2,0
1000000US500019604002055,1,1,0
1000000US500019604002056,0,0,0
1000000US500019604002057,13,13,0
1000000US500019604002058,0,0,0
1000000US500019604002059,0,0,0
1000000US500019604002060,30,28,2
1000000US500019604002061,0,0,0
1000000US500019604002062,17,15,2
1000000US500019604002063,0,0,0
1000000US500019604002064,12,12,0
1000000US500019604002065,14,6,8
1000000US500019604002066,0,0,0
1000000US500019604002067,0,0,0
1000000US500019604002068,0,0,0
1000000US500019604002069,0,0,0
1000000US500019604002070,0,0,0
1000000US500019604002071,7,3,4
1000000US500019604002072,0,0,0
1000000US500019604002073,0,0,0
1000000US500019604002074,1,0,1
1000000US500019604002075,7,3,4
1000000US500019604002076,4,1,3
1000000US500019604002077,25,16,9
1000000US500019604002078,0,0,0
1000000US500019604002079,0,0,0
1000000US500019604002080,8,8,0
1000000US500019604002081,0,0,0
1000000US500019604003000,0,0,0
1000000US500019604003001,1,1,0
1000000US500019604003002,0,0,0
1000000US500019604003003,15,12,3
1000000US500019604003004,0,0,0
1000000US500019604003005,0,0,0
1000000US500019604003006,10,9,1
1000000US500019604003007,20,19,1
1000000US500019604003008,1,1,0
1000000US500019604003009,13,10,3
1000000US500019604003010,0,0,0
1000000US500019604003011,0,0,0
1000000US500019604003012,0,0,0
1000000US500019604003013,0,0,0
1000000US500019604003014,0,0,0
1000000US500019604003015,0,0,0
1000000US500019604003016,14,14,0
1000000US500019604003017,1,0,1
1000000US500019604003018,0,0,0
1000000US500019604003019,0,0,0
1000000US500019604003020,0,0,0
1000000US500019604003021,0,0,0
1000000US500019604003022,0,0,0
1000000US500019604003023,0,0,0
1000000US500019604003024,16,16,0
1000000US500019604003025,0,0,0
1000000US500019604003026,0,0,0
1000000US500019604003027,9,7,2
1000000US500019604003028,1,1,0
1000000US500019604003029,27,26,1
1000000US500019604003030,0,0,0
1000000US500019604003031,0,0,0
1000000US500019604003032,44,39,5
1000000US500019604003033,0,0,0
1000000US500019604003034,10,10,0
1000000US500019604003035,1,1,0
1000000US500019604003036,0,0,0
1000000US500019604003037,10,9,1
1000000US500019604003038,0,0,0
1000000US500019604003039,25,22,3
1000000US500019604003040,31,30,1
1000000US500019604003041,0,0,0
1000000US500019604003042,0,0,0
1000000US500019604003043,0,0,0
1000000US500019604003044,26,26,0
1000000US500019604003045,2,2,0
1000000US500019604003046,0,0,0
1000000US500019604003047,0,0,0
1000000US500019604003048,6,6,0
1000000US500019604003049,6,5,1
1000000US500019604003050,0,0,0
1000000US500019604003051,0,0,0
1000000US500019604003052,0,0,0
1000000US500019604003053,0,0,0
1000000US500019604003054,0,0,0
1000000US500019604003055,15,13,2
1000000US500019604003056,0,0,0
1000000US500019604003057,0,0,0
1000000US500019604003058,0,0,0
1000000US500019604003059,0,0,0
1000000US500019604003060,0,0,0
1000000US500019604003061,9,8,1
1000000US500019604003062,1,1,0
1000000US500019604003063,14,12,2
1000000US500019604003064,17,17,0
1000000US500019604003065,0,0,0
1000000US500019604003066,2,2,0
1000000US500019604003067,221,93,128
1000000US500019604003068,0,0,0
1000000US500019604003069,0,0,0
1000000US500019604003070,1,0,1
1000000US500019604003071,0,0,0
1000000US500019604003072,13,13,0
1000000US500019604003073,3,2,1
1000000US500019604003074,0,0,0
1000000US500019604003075,1,0,1
1000000US500019604003076,0,0,0
1000000US500019604003077,3,2,1
1000000US500019604003078,0,0,0
1000000US500019604003079,0,0,0
1000000US500019604003080,0,0,0
1000000US500019604003081,0,0,0
1000000US500019604003082,0,0,0
1000000US500019604003083,0,0,0
1000000US500019604003084,0,0,0
1000000US500019604003085,7,6,1
1000000US500019604003086,0,0,0
1000000US500019604003087,0,0,0
1000000US500019604003088,0,0,0
1000000US500019604003089,2,1,1
1000000US500019604003090,0,0,0
1000000US500019604003091,0,0,0
1000000US500019604003092,49,39,10
1000000US500019604003093,0,0,0
1000000US500019604003094,0,0,0
1000000US500019604003095,0,0,0
1000000US500019604003096,0,0,0
1000000US500019604003097,0,0,0
1000000US500019604003098,0,0,0
1000000US500019604003099,0,0,0
1000000US500019604003100,0,0,0
1000000US500019604003101,0,0,0
1000000US500019604003102,0,0,0
1000000US500019604003103,1,1,0
1000000US500019604003104,9,8,1
1000000US500019604003105,0,0,0
1000000US500019604003106,0,0,0
1000000US500019604003107,0,0,0
1000000US500019604003108,0,0,0
1000000US500019604003109,0,0,0
1000000US500019604003110,0,0,0
1000000US500019604003111,0,0,0
1000000US500019604003112,2,2,0
1000000US500019604003113,0,0,0
1000000US500019604003114,0,0,0
1000000US500019604003115,0,0,0
1000000US500019604003116,0,0,0
1000000US500019604003117,0,0,0
1000000US500019604003118,8,4,4
1000000US500019604003119,0,0,0
1000000US500019604003120,0,0,0
1000000US500019604003121,0,0,0
1000000US500019604003122,2,1,1
1000000US500019604003123,2,2,0
1000000US500019604003124,8,7,1
1000000US500019604003125,7,7,0
1000000US500019604003126,0,0,0
1000000US500019604003127,0,0,0
1000000US500019604003128,0,0,0
1000000US500019604003129,2,1,1
1000000US500019604003130,0,0,0
1000000US500019604003131,0,0,0
1000000US500019604003132,0,0,0
1000000US500019604003133,11,10,1
1000000US500019604003134,0,0,0
1000000US500019604003135,10,9,1
1000000US500019604003136,0,0,0
1000000US500019604004000,0,0,0
1000000US500019604004001,0,0,0
1000000US500019604004002,0,0,0
1000000US500019604004003,0,0,0
1000000US500019604004004,2,2,0
1000000US500019604004005,13,12,1
1000000US500019604004006,16,13,3
1000000US500019604004007,0,0,0
1000000US500019604004008,0,0,0
1000000US500019604004009,0,0,0
1000000US500019604004010,0,0,0
1000000US500019604004011,0,0,0
1000000US500019604004012,0,0,0
1000000US500019604004013,0,0,0
1000000US500019604004014,1,1,0
1000000US500019604004015,0,0,0
1000000US500019604004016,8,8,0
1000000US500019604004017,3,2,1
1000000US500019604004018,0,0,0
1000000US500019604004019,0,0,0
1000000US500019604004020,21,20,1
1000000US500019604004021,4,3,1
1000000US500019604004022,8,8,0
1000000US500019604004023,0,0,0
1000000US500019604004024,0,0,0
1000000US500019604004025,0,0,0
1000000US500019604004026,69,64,5
1000000US500019604004027,0,0,0
1000000US500019604004028,0,0,0
1000000US500019604004029,11,11,0
1000000US500019604004030,6,5,1
1000000US500019604004031,14,14,0
1000000US500019604004032,14,11,3
1000000US500019604004033,0,0,0
1000000US500019604004034,5,5,0
1000000US500019604004035,0,0,0
1000000US500019604004036,0,0,0
1000000US500019604004037,0,0,0
1000000US500019604004038,5,5,0
1000000US500019604004039,1,1,0
1000000US500019604004040,0,0,0
1000000US500019604004041,3,3,0
1000000US500019604004042,11,11,0
1000000US500019604004043,1,1,0
1000000US500019604004044,21,21,0
1000000US500019604004045,0,0,0
1000000US500019604004046,24,24,0
1000000US500019604004047,64,62,2
1000000US500019604004048,1,1,0
1000000US500019604004049,5,4,1
1000000US500019604004050,0,0,0
1000000US500019604004051,0,0,0
1000000US500019604004052,0,0,0
1000000US500019604004053,12,11,1
1000000US500019604004054,2,1,1
1000000US500019604004055,0,0,0
1000000US500019604004056,2,1,1
1000000US500019604004057,7,6,1
1000000US500019604004058,0,0,0
1000000US500019605001000,39,37,2
1000000US500019605001001,2,2,0
1000000US500019605001002,30,29,1
1000000US500019605001003,1,1,0
1000000US500019605001004,6,6,0
1000000US500019605001005,0,0,0
1000000US500019605001006,12,12,0
1000000US500019605001007,8,8,0
1000000US500019605001008,57,39,18
1000000US500019605001009,0,0,0
1000000US500019605001010,1,1,0
1000000US500019605001011,60,55,5
1000000US500019605001012,24,24,0
1000000US500019605001013,40,38,2
1000000US500019605001014,0,0,0
1000000US500019605001015,0,0,0
1000000US500019605001016,1,1,0
1000000US500019605001017,0,0,0
1000000US500019605001018,0,0,0
1000000US500019605001019,0,0,0
1000000US500019605001020,92,87,5
1000000US500019605001021,0,0,0
1000000US500019605001022,4,4,0
1000000US500019605001023,45,37,8
1000000US500019605001024,28,27,1
1000000US500019605001025,21,19,2
1000000US500019605001026,14,13,1
1000000US500019605001027,53,52,1
1000000US500019605001028,0,0,0
1000000US500019605001029,0,0,0
1000000US500019605001030,73,68,5
1000000US500019605001031,1,1,0
1000000US500019605001032,0,0,0
1000000US500019605001033,1,1,0
1000000US500019605001034,0,0,0
1000000US500019605001035,2,1,1
