GEO_ID,P001001,P001003,P001004,P001005,P001006,P001007,P001008,P001009
1000000US500019602001015,0,0,0,0,0,0,0,0
1000000US500019602001016,0,0,0,0,0,0,0,0
1000000US500019602001017,27,27,0,0,0,0,0,0
1000000US500019602001018,0,0,0,0,0,0,0,0
1000000US500019602001019,0,0,0,0,0,0,0,0
1000000US500019602001020,56,50,0,0,2,0,0,4
1000000US500019602001021,15,15,0,0,0,0,0,0
1000000US500019602001022,12,12,0,0,0,0,0,0
1000000US500019602001023,128,128,0,0,0,0,0,0
1000000US500019602001024,5,5,0,0,0,0,0,0
1000000US500019602001025,0,0,0,0,0,0,0,0
1000000US500019602001026,8,8,0,0,0,0,0,0
1000000US500019602001027,63,61,0,0,2,0,0,0
1000000US500019602001028,0,0,0,0,0,0,0,0
1000000US500019602001029,294,285,2,0,3,0,0,4
1000000US500019602001030,0,0,0,0,0,0,0,0
1000000US500019602001031,0,0,0,0,0,0,0,0
1000000US500019602001032,7,4,1,0,0,0,0,2
1000000US500019602001033,0,0,0,0,0,0,0,0
1000000US500019602001034,46,46,0,0,0,0,0,0
1000000US500019602001035,0,0,0,0,0,0,0,0
1000000US500019602001036,0,0,0,0,0,0,0,0
1000000US500019602001037,4,4,0,0,0,0,0,0
1000000US500019602001038,2,2,0,0,0,0,0,0
1000000US500019602001039,38,34,1,0,3,0,0,0
1000000US500019602001040,23,22,0,0,0,0,0,1
1000000US500019602001041,0,0,0,0,0,0,0,0
1000000US500019602001042,0,0,0,0,0,0,0,0
1000000US500019602001043,0,0,0,0,0,0,0,0
1000000US500019602001044,0,0,0,0,0,0,0,0
1000000US500019602001045,0,0,0,0,0,0,0,0
1000000US500019602001046,0,0,0,0,0,0,0,0
1000000US500019602001047,47,45,0,0,0,0,0,2
1000000US500019602001048,36,36,0,0,0,0,0,0
1000000US500019602001049,0,0,0,0,0,0,0,0
1000000US500019602001050,2,2,0,0,0,0,0,0
1000000US500019602001051,8,8,0,0,0,0,0,0
1000000US500019602001052,0,0,0,0,0,0,0,0
1000000US500019602001053,0,0,0,0,0,0,0,0
1000000US500019602001054,0,0,0,0,0,0,0,0
1000000US500019602001055,10,9,1,0,0,0,0,0
